Nombre recurso;LOID;ID;Página;Tipo;Enlace;Texto principal;Texto adicional
Desafío: El aparato digestivo y el aparato excretor;MN_3C_14_LM_Recurso270;132175;Escoge tu camino;Enlace;https://www.discapnet.es/salud/alimentacion-y-nutricion;Guía de alimentación y nutrición;, información sobre los alimentos, los nutrientes y cómo llevar una dieta equilibrada, de DISCAPNET-Fundación ONCE.
Desafío: El aparato digestivo y el aparato excretor;MN_3C_14_LM_Recurso270;132175;Escoge tu camino;Inglés;https://kidshealth.org/en/kids/digestive-system.html;Your Digestive System;, información sobre el proceso que realizan los alimentos a través del aparato digestivo, de KidsHealth.
Desafío: El aparato digestivo y el aparato excretor;MN_3C_14_LM_Recurso270;132175;Ve más allá;Lista;;Un menú perfecto;
Desafío: El aparato digestivo y el aparato excretor;MN_3C_14_LM_Recurso270;132175;Meta;Título;;Antes de que te entre el hambre, ¿serás capaz de superar la última prueba?;
Desafío: El ser humano;MN_3C_12_LM_Recurso270;131778;Escoge tu camino;Lista;;Así somos ;(La anatomía y la fisiología del ser humano)
Desafío: El ser humano;MN_3C_12_LM_Recurso270;131778;Escoge tu camino;Lista;;Comer para vivir ;(La función vital de nutrición en el ser humano)
Desafío: El ser humano;MN_3C_12_LM_Recurso270;131778;Escoge tu camino;Lista;;Barriendo fuera de casa ;(Los órganos del aparato excretor)
Desafío: El ser humano;MN_3C_12_LM_Recurso270;131778;Escoge tu camino;Lista;;En cuerpo y mente ;(La función vital de relación en el ser humano)
Desafío: El ser humano;MN_3C_12_LM_Recurso270;131778;Escoge tu camino;Lista;;De padres a hijos ;(La función vital de reproducción en el ser humano)
Desafío: El ser humano;MN_3C_12_LM_Recurso270;131778;Escoge tu camino;Lista;;Sumando años ;(Las etapas de la vida y los cambios que producen en el ser humano)
Desafío: El ser humano;MN_3C_12_LM_Recurso270;131778;Escoge tu camino;Enlace;http://www.xtec.cat/~lvallmaj/passeig/serhuma2.htm;Miradas sobre el ser humano;, información sobre el ser humano y la diferencia con el resto de seres vivos desde un punto de vista filosófico y científico, de Filópolis.
Desafío: El ser humano;MN_3C_12_LM_Recurso270;131778;Escoge tu camino;Enlace;https://www.etapasdesarrollohumano.com/;Información y preguntas sobre el desarrollo humano, ;, información acerca de las etapas de la vida y las etapas del desarrollo humano, de etapasdesarrollohumano.com.
Desafío: El ser humano;MN_3C_12_LM_Recurso270;131778;Escoge tu camino;Enlace;https://descargas.intef.es/recursos_educativos/It_didac/CCNN/3/01/Asi_somos_nuestro_cuerpo/index.html;¡Así somos! Nuestro cuerpo;, secuencia didáctica sobre el cuerpo humano, de INTEF.
Desafío: El ser humano;MN_3C_12_LM_Recurso270;131778;Escoge tu camino;Inglés;https://www.konnecthq.com/human-body/; Human body facts,; información sobre órganos, aparatos y sistemas que conforman el cuerpo humano, de Science For Kids.
Desafío: El ser humano;MN_3C_12_LM_Recurso270;131778;Ve más allá;Lista;;Los animales que hablan;
Desafío: El ser humano;MN_3C_12_LM_Recurso270;131778;Meta;Título;;"¡Fantástico, ahora ya sabes más sobre ti mismo!
¿Serás capaz de superar la última prueba?";
Desafío: El reino de las plantas;MN_3C_10_LM_Recurso450;130753;Escoge tu camino;Lista;;Cómo se llenó de oxígeno el aire ;(Las características de las plantas)
Desafío: El reino de las plantas;MN_3C_10_LM_Recurso450;130753;Escoge tu camino;Lista;;Linneo y las plantas, su gran pasión ;(La primera clasificación taxonómica de las plantas)
Desafío: El reino de las plantas;MN_3C_10_LM_Recurso450;130753;Escoge tu camino;Lista;;La alimentación desde la raíz ;(La obtención y el transporte de los nutrientes)
Desafío: El reino de las plantas;MN_3C_10_LM_Recurso450;130753;Escoge tu camino;Lista;;El oxígeno y el dióxido de carbono ;(La respiración y la fotosíntesis)
Desafío: El reino de las plantas;MN_3C_10_LM_Recurso450;130753;Escoge tu camino;Lista;;Desde la flor a la germinación ;(La reproducción en las plantas con flores)
Desafío: El reino de las plantas;MN_3C_10_LM_Recurso450;130753;Escoge tu camino;Lista;;Capaces de germinar sin semilla ;(La reproducción en las plantas sin flores)
Desafío: El reino de las plantas;MN_3C_10_LM_Recurso450;130753;Escoge tu camino;Enlace;http://recursostic.educacion.es/secundaria/edad/1esobiologia/1quincena12/1quincena1_contenidos_1a.htm;El reino de las plantas;, recurso didáctico para explorar el reino de las plantas y sus características, de cide@d, Centro para la Innovación y Desarrollo de la Educación a Distancia.
Desafío: El reino de las plantas;MN_3C_10_LM_Recurso450;130753;Escoge tu camino;Enlace;https://www.fundacionaquae.org/wiki/fotosintesis-agua-sales-luz-energia/;Fotosíntesis: agua + sales + luz = energía;, artículo sobre el proceso químico de la fotosíntesis, de la Fundación Aquae.
Desafío: El reino de las plantas;MN_3C_10_LM_Recurso450;130753;Escoge tu camino;Enlace;http://www.anthos.es/;Anthos;, atlas interactivo para buscar plantas a partir de géneros o especies. Además de disponer de la ficha técnica sobre la planta, también se muestra su distribución por el territorio español, del Proyecto Flora ibérica.
Desafío: El reino de las plantas;MN_3C_10_LM_Recurso450;130753;Escoge tu camino;Enlace;https://www.arbolesibericos.es/;Árboles Ibéricos;, espacio que recoge las especies de árboles del territorio español y andorrano, las claves para identificarlos y una distribución de los diferentes medios del territorio.
Desafío: El reino de las plantas;MN_3C_10_LM_Recurso450;130753;Escoge tu camino;Inglés;https://www.toppr.com/guides/biology/plant-kingdom/?utm_source=biology_plant-kingdom_classification-within-kingdom-plantae_&utm_medium=seo_internal_link;Plant Kingdom;, clasificación de las plantas y de otros seres vivos, de Toppr.
Desafío: El reino de las plantas;MN_3C_10_LM_Recurso450;130753;Ve más allá;Lista;;La gran diversidad de nuestro territorio;
Desafío: El reino de las plantas;MN_3C_10_LM_Recurso450;130753;Meta;Título;;"<strong>Los pulmones del planeta te han dado suficiente oxígeno para llegar hasta aquí… y ahora:
¿Serás capaz de superar la última prueba?</strong>";
Desafío: Los seres vivos;MN_3C_07_LM_Recurso330;131986;Escoge tu camino;Lista;;En pleno desarrollo ;(Los seres vivos y seres inertes)
Desafío: Los seres vivos;MN_3C_07_LM_Recurso330;131986;Escoge tu camino;Lista;;Los más nerviosos ;(Los diferentes grupos de animales y sus características)
Desafío: Los seres vivos;MN_3C_07_LM_Recurso330;131986;Escoge tu camino;Lista;;De raíz ;(El reino de las plantas)
Desafío: Los seres vivos;MN_3C_07_LM_Recurso330;131986;Escoge tu camino;Lista;;No son plantas, aunque vivan en el bosque ;(El reino de los hongos)
Desafío: Los seres vivos;MN_3C_07_LM_Recurso330;131986;Escoge tu camino;Lista;;Un buen principio ;(El reino de las móneras)
Desafío: Los seres vivos;MN_3C_07_LM_Recurso330;131986;Escoge tu camino;Lista;;Gran variedad ;(El reino de los protoctistas)
Desafío: Los seres vivos;MN_3C_07_LM_Recurso330;131986;Escoge tu camino;Enlace;https://descargas.intef.es/recursos_educativos/It_didac/CCNN/1/07/Los_seres_vivos/index.html;Clasificación de los seres vivos;, información sobre los reinos de los seres vivos y cómo se pueden ver a través de un microscopio, del proyecto Biosfera.
Desafío: Los seres vivos;MN_3C_07_LM_Recurso330;131986;Escoge tu camino;Enlace;https://www.educapeques.com/recursos-para-el-aula/conocimiento-del-medio-primaria/la-celula-guia-aprender-las-celulas.html;La célula;, información sobre la célula vegetal y la célula animal, del Portal de educación Infantil y Primaria.
Desafío: Los seres vivos;MN_3C_07_LM_Recurso330;131986;Escoge tu camino;Enlace;https://cienciadebolsillo.com/biologia-humanos-y-naturaleza/el-enemigo-de-mi-enemigo/gmx-niv44-con60.htm;El enemigo de mi enemigo;, información sobre las bacterias y los virus, de Ciencia de Bolsillo.
Desafío: Los seres vivos;MN_3C_07_LM_Recurso330;131986;Escoge tu camino;Inglés;https://www.onezoom.org/life.html/@biota=93302#x914,y880,w0.7360; OneZoom Tree of Life Explorer;, árbol filogenético interactivo, de OneZoom.
Desafío: Los seres vivos;MN_3C_07_LM_Recurso330;131986;Ve más allá;Lista;;Con mucho ojo;
Desafío: Los seres vivos;MN_3C_07_LM_Recurso330;131986;Ve más allá;Lista;;Con lupa;
Desafío: Los seres vivos;MN_3C_07_LM_Recurso330;131986;Ve más allá;Lista;;Linneo;
Desafío: Los seres vivos;MN_3C_07_LM_Recurso330;131986;Meta;Título;;<strong>¿Serás capaz de superar la última prueba?</strong>;
Desafío: El clima y el paisaje;MS_3C_22_LM_Recurso960;130873;Escoge tu camino;Lista;;Elementos que definen un clima;
Desafío: El clima y el paisaje;MS_3C_22_LM_Recurso960;130873;Escoge tu camino;Lista;;La vida en climas extremos;
Desafío: El clima y el paisaje;MS_3C_22_LM_Recurso960;130873;Escoge tu camino;Lista;;Instrumentos meteorológicos;
Desafío: El clima y el paisaje;MS_3C_22_LM_Recurso960;130873;Escoge tu camino;Lista;;Cómo realizar un climograma;
Desafío: El clima y el paisaje;MS_3C_22_LM_Recurso960;130873;Escoge tu camino;Lista;;En qué zona climática vivo;
Desafío: El clima y el paisaje;MS_3C_22_LM_Recurso960;130873;Escoge tu camino;Lista;;La vida en las zonas climáticas frías, templadas o cálidas;
Desafío: El clima y el paisaje;MS_3C_22_LM_Recurso960;130873;Escoge tu camino;Lista;;Qué elementos configuran el paisaje;
Desafío: El clima y el paisaje;MS_3C_22_LM_Recurso960;130873;Escoge tu camino;Lista;;El poder de la erosión;
Desafío: El clima y el paisaje;MS_3C_22_LM_Recurso960;130873;Escoge tu camino;Lista;;La transformación del paisaje por parte del ser humano;
Desafío: El clima y el paisaje;MS_3C_22_LM_Recurso960;130873;Escoge tu camino;Lista;;"Qué es el ""land art""";
Desafío: El clima y el paisaje;MS_3C_22_LM_Recurso960;130873;Escoge tu camino;Enlace;https://es.educaplay.com/recursos-educativos/608364-los_climas_del_mundo.html;Mapa interactivo ;sobre los climas del planeta.
Desafío: El clima y el paisaje;MS_3C_22_LM_Recurso960;130873;Escoge tu camino;Enlace;https://www.aemet.es/es/portada;AEMET;, portal para consultar la climatología y meteorología española, y visualizar videos sobre el tema.
Desafío: El clima y el paisaje;MS_3C_22_LM_Recurso960;130873;Escoge tu camino;Inglés;https://wmo.int/site/global-framework-climate-services-gfcs;GFCS;,(Global Framework for Climate Services), con información relacionada con el clima y la meteorología, y noticias sobre el cambio climático.
Desafío: El clima y el paisaje;MS_3C_22_LM_Recurso960;130873;Ve más allá;Lista;;Fiestas y tradiciones del mundo. ;
Desafío: El clima y el paisaje;MS_3C_22_LM_Recurso960;130873;Ve más allá;Lista;;El transporte en climas extremos;
Desafío: El clima y el paisaje;MS_3C_22_LM_Recurso960;130873;Ve más allá;Lista;;La alimentación en climas extremos. ;
Desafío: El clima y el paisaje;MS_3C_22_LM_Recurso960;130873;Ve más allá;Lista;;Paisajes extraterrestres en la Tierra;
Desafío: El clima y el paisaje;MS_3C_22_LM_Recurso960;130873;Ve más allá;Lista;;Localizaciones de escenografías;
Desafío: El clima y el paisaje;MS_3C_22_LM_Recurso960;130873;Ve más allá;Lista;;La presión del ser humano del tiempo;
Desafío: El clima y el paisaje;MS_3C_22_LM_Recurso960;130873;Meta;Título;;"<strong>¡Final del viaje!
¿Serás capaz de superar la última prueba?</strong>";
Desafío: El planeta Tierra;MN_3C_02_LM_Recurso250;130784;Escoge tu camino;Lista;;La diversidad del planeta Tierra;
Desafío: El planeta Tierra;MN_3C_02_LM_Recurso250;130784;Escoge tu camino;Lista;;Cuidar de nuestro planeta;
Desafío: El planeta Tierra;MN_3C_02_LM_Recurso250;130784;Escoge tu camino;Lista;;Los fenómenos naturales;
